Index,Date,Open,High,Low,Close,Adj Close,Volume,price_for_return,return_1d,abs_return_1d,volatility_20,return_z_20,intraday_range,open_close_return,volume_z_20,conflict_count,total_deaths_sum,total_deaths_max,total_deaths_mean,log_deaths_sum,death_uncertainty_sum,conflict_duration_mean,is_conflict_day,is_high_intensity_conflict_day,is_conflict_window_3d,is_high_intensity_conflict_window_3d,dbscan_cluster,is_market_anomaly
399001.SZ,2015-09-07,10121.83008,10404.21973,9933.540039,9991.759766,9991.648438,1279700.0,9991.648438,-0.006269522363985036,0.006269522363985036,0.03836691194200134,0.10023454293338672,0.047106786194122875,-0.01285047397278581,-1.2523341701368351,253.0,1223.0,99.0,4.83399209486166,320.44526690335084,255.0,0.1857707509881423,1,1,1,1,-1,1
399001.SZ,2015-09-08,9898.639648,10341.29981,9763.950195,10320.23047,10320.11426,1067800.0,10320.11426,0.03287403715594994,0.03287403715594994,0.03870394429276295,1.1026959415529105,0.0559434807854636,0.04259078388465042,-2.0005327127123573,49.0,319.0,98.0,6.510204081632653,67.01291104759,49.0,0.24489795918367346,1,0,1,1,-1,1
399001.SZ,2015-09-09,10367.34961,10702.17969,10335.01953,10620.12988,10620.01074,1680900.0,10620.01074,0.029059414696829045,0.029059414696829045,0.03780938341367398,1.0464883986503128,0.03457209696572951,0.024382342595659908,0.5236225723325568,26.0,204.0,52.0,7.846153846153846,40.93509384300309,54.0,0.2692307692307692,1,0,1,1,-1,1
399001.SZ,2015-09-10,10449.92969,10618.87012,10406.01953,10424.65039,10424.5332,1140900.0,10424.5332,-0.01840652940808607,0.01840652940808607,0.03773835889080738,-0.18291405569174668,0.020418007514590615,-0.0024190880465148994,-1.5138867602231492,30.0,85.0,18.0,2.8333333333333335,33.2586246409753,74.0,0.0,1,0,1,0,-1,1
399001.SZ,2015-09-11,10408.41016,10555.62012,10332.41016,10463.69043,10463.57324,945200.0,10463.57324,0.003745015652115713,0.003745015652115713,0.03787646607246141,0.37723581038754284,0.02133185815207648,0.00531111564112315,-1.9602038750104567,57.0,385.0,44.0,6.754385964912281,85.78510764938055,151.0,0.05263157894736842,1,0,1,0,-1,1
399001.SZ,2015-09-14,10517.67969,10544.28027,9739.419922,9778.230469,9778.121094,1254300.0,9778.121094,-0.0655084195692981,0.0655084195692981,0.038997652729547264,-1.298274635715387,0.08231145201083725,-0.06212519020591047,-0.8067503788030564,136.0,750.0,99.0,5.514705882352941,191.05237638462293,32.0,0.11029411764705882,1,1,1,1,-1,1
399001.SZ,2015-09-15,9533.450195,9719.660156,9259.650391,9290.80957,9290.706055,1049600.0,9290.706055,-0.049847515111986596,0.049847515111986596,0.03948764531290463,-0.8176524413793825,0.04951234459539146,-0.025451501821162032,-1.3572172854564153,61.0,302.0,38.0,4.950819672131147,87.34319168731662,108.0,0.0,1,0,1,1,-1,1
399001.SZ,2015-09-16,9330.75,9933.830078,9297.200195,9890.429688,9890.318359,1212500.0,9890.318359,0.06453893820882484,0.06453893820882484,0.04321410033575615,1.8361698940701225,0.06436827348081961,0.059596022702325335,-0.7283875406510694,41.0,141.0,11.0,3.4390243902439024,51.96717982383824,239.0,0.07317073170731707,1,0,1,1,-1,1
399001.SZ,2015-09-17,9872.040039,10147.16992,9739.889648,9739.889648,9739.780273,1423500.0,9739.780273,-0.015220752309051178,0.015220752309051178,0.04153534269951278,-0.07051146488501923,0.041815696760345876,-0.013386330533297306,0.12172655752598441,54.0,396.0,53.0,7.333333333333333,90.49255597347351,36.0,0.0,1,0,1,0,-1,1
399001.SZ,2015-09-18,9806.719727,9914.580078,9691.05957,9850.769531,9850.65918,957300.0,9850.65918,0.01138412817251866,0.01138412817251866,0.04114786600153728,0.5880767349753737,0.022690664652806142,0.004491797994259149,-1.5612896595873462,66.0,455.0,56.0,6.893939393939394,100.72930478014268,159.0,0.19696969696969696,1,0,1,0,-1,1
